TeeCee4800, How Many Liccs
Desiigner, Overnight
Desiigner, Tiimmy Turner
NAV, Up
KYLE, All Mine (feat. MadeinTYO)
Roy Woods, Down Girl
Playboi Carti, Half & Half
Aminé, Baba
Desiigner, Zombie Walk
Desiigner, Liife
MadeinTYO, I Want (feat. 2 Chainz)
Playboi Carti, Location
NAV, Call Me
Roy Woods, Involved
Playboi Carti, wokeuplikethis*
Playboi Carti, Lame Niggaz
Desiigner, Up
NAV, Minute
Aminé, Wedding Crashers
NAV, Perfect Timing (Intro)
Aminé, Turf
Roy Woods, How I Feel
Aminé, Veggies
MadeinTYO, Uber Everywhere (feat. Travis Scott)
Ugly God, L.D.C
Desiigner, Panda
Playboi Carti, Magnolia
Roy Woods, Get You Good
NAV, Hit
Aminé, Yellow
Aminé, Heebiejeebies - Bonus
Roy Woods, Instinct (feat. MadeinTYO)
Roy Woods, Dangerous
MadeinTYO, Kelly Rowland
Aminé, Caroline
Playboi Carti, Let It Go
Roy Woods, Love You
Ugly God, Like A Maverick
Playboi Carti, New Choppa
NAV, A$AP Ferg
Ugly God, I'm Tryna Fuck
Playboi Carti, Broke Boi
Ugly God, No Lies (feat. Wiz Khalifa)
Desiigner, Outlet
NAV, Myself
Roy Woods, What Are You On?
Ugly God, Water
Ugly God, Bitch!
MadeinTYO, Mr. Tokyo
MadeinTYO, Skateboard P
Kanye West, Champions
Desiigner, Tiimmy Turner - Remix
Ugly God, Welcome To The Booty Tape
Aminé, REDMERCEDES
NAV, Held Me Down
Ugly God, Stop Smoking Black & Milds
MadeinTYO, Skateboard P (feat. Big Sean)
MadeinTYO, Gucci Polo
Roy Woods, Drama (feat. Drake)
Roy Woods, Gwan Big Up Urself
Playboi Carti, dothatshit!
NAV, Some Way
Ugly God, I'm A Nasty Hoe
Desiigner, Holy Ghost
MadeinTYO, Uber Everywhere
NAV, NAV
Playboi Carti, Lookin
Aminé, Slide
Ugly God, Fuck Ugly God
Aminé, Spice Girl
MadeinTYO, Too Quick
